Date,Close
1/2/2012,1566.37
1/3/2012,1603.95
1/4/2012,1611.95
1/5/2012,1622.71
1/6/2012,1617.08
1/9/2012,1611.15
1/10/2012,1632.33
1/11/2012,1641.99
1/12/2012,1649.99
1/13/2012,1638.92
1/16/2012,1643.88
1/17/2012,1652.38
1/18/2012,1659.84
1/19/2012,1658.5
1/20/2012,1666.6
1/23/2012,1676.85
1/24/2012,1665.25
1/25/2012,1710.8
1/26/2012,1720.08
1/27/2012,1738.95
1/30/2012,1729.85
1/31/2012,1737.76
2/1/2012,1743.53
2/2/2012,1759.55
2/3/2012,1726.33
2/6/2012,1720.25
2/7/2012,1745.45
2/8/2012,1733.13
2/9/2012,1729.54
2/10/2012,1721.85
2/13/2012,1722.25
2/14/2012,1720.23
2/15/2012,1728.18
2/16/2012,1728.25
2/17/2012,1723.49
2/20/2012,1734.93
2/21/2012,1759.25
2/22/2012,1776.3
2/23/2012,1780.78
2/24/2012,1772.35
2/27/2012,1767.65
2/28/2012,1784.25
2/29/2012,1696.76
3/1/2012,1718.25
3/2/2012,1712.45
3/5/2012,1706.32
3/6/2012,1674.38
3/7/2012,1684.91
3/8/2012,1699.85
3/9/2012,1713.85
3/12/2012,1701.34
3/13/2012,1674.03
3/14/2012,1644.79
3/15/2012,1658.66
3/16/2012,1659.98
3/19/2012,1664.5
3/20/2012,1650.86
3/21/2012,1650.55
3/22/2012,1645.91
3/23/2012,1661.7
3/26/2012,1690.18
3/27/2012,1680.75
3/28/2012,1663.55
3/29/2012,1661.57
3/30/2012,1668.15
4/2/2012,1677.75
4/3/2012,1645.85
4/4/2012,1620.55
4/5/2012,1631.15
4/6/2012,1640.3
4/9/2012,1640.26
4/10/2012,1659.93
4/11/2012,1658.98
4/12/2012,1675.78
4/13/2012,1658.38
4/16/2012,1652.01
4/17/2012,1649.59
4/18/2012,1642.24
4/19/2012,1642.82
4/20/2012,1643.05
4/23/2012,1638.84
4/24/2012,1642.25
4/25/2012,1643.72
4/26/2012,1657.35
4/27/2012,1662.85
4/30/2012,1664.75
5/1/2012,1662.4
5/2/2012,1653.45
5/3/2012,1636.05
5/4/2012,1642.35
5/7/2012,1638.45
5/8/2012,1605.4
5/9/2012,1589.55
5/10/2012,1594.01
5/11/2012,1579.35
5/14/2012,1556.73
5/15/2012,1544.1
5/16/2012,1539.75
5/17/2012,1574.14
5/18/2012,1593.03
5/21/2012,1593.33
5/22/2012,1568.5
5/23/2012,1561.53
5/24/2012,1559.3
5/25/2012,1573
5/28/2012,1573.33
5/29/2012,1555.34
5/30/2012,1562.93
5/31/2012,1560.51
6/1/2012,1624
6/4/2012,1619
6/5/2012,1617.05
6/6/2012,1619.55
6/7/2012,1589.32
6/8/2012,1593.4
6/11/2012,1596.8
6/12/2012,1609.71
6/13/2012,1617.16
6/14/2012,1623.6
6/15/2012,1627.1
6/18/2012,1628.09
6/19/2012,1618.39
6/20/2012,1607.5
6/21/2012,1566.37
6/22/2012,1572.43
6/25/2012,1584.38
6/26/2012,1572.86
6/27/2012,1574.19
6/28/2012,1552.68
6/29/2012,1597.45
7/2/2012,1597.01
7/3/2012,1617.45
7/4/2012,1615.65
7/5/2012,1604.58
7/6/2012,1583.85
7/9/2012,1587.65
7/10/2012,1567.15
7/11/2012,1576.38
7/12/2012,1571.73
7/13/2012,1589.6
7/16/2012,1589.4
7/17/2012,1583.41
7/18/2012,1573.45
7/19/2012,1581.54
7/20/2012,1584.53
7/23/2012,1576.75
7/24/2012,1581.18
7/25/2012,1603.85
7/26/2012,1615.85
7/27/2012,1623.2
7/30/2012,1621.96
7/31/2012,1614.58
8/1/2012,1599.58
8/2/2012,1588.05
8/3/2012,1603.55
8/6/2012,1610.68
8/7/2012,1612.35
8/8/2012,1612.55
8/9/2012,1617.18
8/10/2012,1620.15
8/13/2012,1609.75
8/14/2012,1599.05
8/15/2012,1603.1
8/16/2012,1615.13
8/17/2012,1616.4
8/20/2012,1620.5
8/21/2012,1637.8
8/22/2012,1654.5
8/23/2012,1670.53
8/24/2012,1670.5
8/27/2012,1663.97
8/28/2012,1666.75
8/29/2012,1656.5
8/30/2012,1655.6
8/31/2012,1691.85
9/3/2012,1692.33
9/4/2012,1695.88
9/5/2012,1692.93
9/6/2012,1700.33
9/7/2012,1735.85
9/10/2012,1726.06
9/11/2012,1731.88
9/12/2012,1730.75
9/13/2012,1767.12
9/14/2012,1770.5
9/17/2012,1761.25
9/18/2012,1771.31
9/19/2012,1770.3
9/20/2012,1768.53
9/21/2012,1773.1
9/24/2012,1764.4
9/25/2012,1760.64
9/26/2012,1752.75
9/27/2012,1777.38
9/28/2012,1772.25
10/1/2012,1775.43
10/2/2012,1774.57
10/3/2012,1777.88
10/4/2012,1790.15
10/5/2012,1780.7
10/8/2012,1774.55
10/9/2012,1764.2
10/10/2012,1762.29
10/11/2012,1767.18
10/12/2012,1754.03
10/15/2012,1737.4
10/16/2012,1747.47
10/17/2012,1750.15
10/18/2012,1741.4
10/19/2012,1721.75
