Date,y
3/15/18,-0.091956995
9/17/14,-0.17722397
2/1/18,-0.033471934
4/29/16,0.32204303
5/10/18,-0.17274603
12/31/19,-0.3603963
5/1/13,0.25999072
3/14/14,0.025790967
3/13/20,-0.13493991
7/26/21,-0.13253357
1/10/18,-0.15772305
11/3/17,-0.00772601
7/24/12,0.102081895
9/9/16,0.014708862
6/29/18,0.025311925
4/15/16,0.008031018
1/25/12,0.7239739
9/5/13,0.06364471
12/17/14,0.162379
4/24/13,-0.01514554
1/19/12,0.31268486
2/12/14,0.14751944
7/7/16,0.15426192
1/18/19,-0.29537663
3/8/17,-0.08985985
10/22/19,-0.19855875
11/3/20,-0.18012914
3/9/17,-0.06353713
3/19/20,-0.09119694
5/4/16,0.48413208
9/15/17,-0.01737155
6/3/13,0.5641097
7/6/20,0.26938835
3/19/14,0.036423907
9/17/15,0.51407564
11/13/12,-0.18457043
4/29/16,0.2791025
7/19/19,-0.08109346
4/2/20,0.18119733
7/31/18,0.08370295
12/5/13,0.11970398
11/22/13,0.054836363
4/13/12,-0.071555704
7/23/20,0.72104526
2/23/12,0.30016217
11/1/12,0.19029692
8/10/16,-0.035806425
7/26/17,-0.06986641
1/6/16,0.4127734
7/20/16,0.17849877
9/10/12,0.15006289
3/24/14,0.04590258
4/27/16,0.56527376
8/7/14,0.022334278
7/10/14,-0.05803595
12/1/16,-0.0945555
6/15/12,0.09723467
3/23/22,0.12559426
7/23/13,-0.039652042
11/6/15,0.44228145
1/27/16,0.5880228
2/5/15,0.6435119
1/29/18,-0.06485635
5/25/16,0.14036274
4/10/19,0.3836169
11/28/18,-0.00081288815
8/3/15,0.20349616
3/8/13,-0.08578038
1/3/18,-0.02556244
2/12/21,-0.05572933
10/13/20,-0.11773286
6/21/19,-0.08363475
9/13/16,0.15270565
1/29/20,0.037995867
7/16/15,0.44142762
2/13/13,0.047178395
1/31/17,-0.16673546
1/30/15,0.5933267
9/4/14,-0.39446416
1/28/14,0.22992721
10/22/20,-0.19332163
1/10/13,0.19814497
7/27/16,0.10372214
7/1/20,1.2574887
9/28/15,0.3955703
9/6/18,0.022457793
1/5/18,-0.11572103
2/17/15,0.6473807
9/6/18,-0.0058903694
2/21/19,-0.037269186
9/26/14,0.2837223
6/10/21,-0.05259657
9/20/12,-0.077999055
2/5/20,-0.009057332
1/9/15,0.34105915
6/22/20,2.219254
12/29/15,0.32775816
5/11/16,0.18880275
8/23/12,0.4796473
7/28/17,-0.24877368
1/7/19,-0.3131799
11/7/14,0.08653745
3/26/18,-0.03503135
4/24/20,1.5385836
2/15/17,-0.10182114
8/20/12,0.2533376
1/6/14,0.27905264
5/7/19,-0.19088577
10/13/21,-0.12694699
1/30/15,0.8188392
5/22/15,0.16083367
2/23/12,0.3200991
11/4/20,-0.3311001
10/30/15,0.7533668
2/22/12,0.29635015
3/4/21,0.5309988
10/9/19,-0.07960299
2/16/12,0.46064284
11/3/21,0.011592016
12/15/21,0.010970414
12/3/14,0.58845115
6/8/17,0.011634953
6/25/21,-0.16362664
6/23/15,0.62417305
1/7/14,0.28009948
1/26/18,-0.031264655
7/25/19,0.010849275
8/6/15,0.17258939
3/16/12,0.16773391
3/22/12,0.22920173
4/18/13,-0.07218107
7/30/19,0.013508372
2/12/15,0.588966
8/5/15,0.17750657
12/10/14,0.07397902
10/9/12,0.43523082
7/18/13,-0.0794284
5/8/12,0.116974294
10/17/12,0.29269046
9/12/18,-0.113215156
10/28/19,-0.26152438
11/3/21,0.03584405
2/23/16,0.44418266
2/25/15,0.44116905
8/11/15,0.20987535
11/11/16,-0.16696137
6/3/21,-0.19094738
2/18/16,1.0300918
10/29/14,0.29537576
8/14/12,0.2579192
11/11/20,-0.23437461
3/19/19,-0.037303522
2/3/20,-0.024965778
3/28/22,0.23951498
11/15/19,-0.07534252
6/4/21,-0.24372509
5/31/16,0.13032143
